YEAR,MONTH,PRCP,TAVG,TMAX,TMIN
2010,03,2.59,37.8,51.1,24.4
2010,04,1.52,49.6,66.3,32.9
2010,05,3.0,58.6,73.4,43.8
2010,06,5.5,66.1,78.1,54.1
2010,07,5.11,70.6,83.9,57.3
2010,08,4.24,68.8,79.9,57.7
2010,09,3.03,61.0,73.0,48.9
2010,10,5.55,48.5,59.3,37.7
2010,11,2.74,38.6,48.7,28.5
2010,12,3.33,23.0,29.8,16.2
2011,01,1.46,20.2,27.9,12.5
2011,02,3.29,25.4,37.2,13.5
2011,03,4.04,33.2,43.3,23.0
2011,04,6.99,46.7,57.3,36.0
2011,05,7.11,59.4,70.5,48.3
2011,06,3.26,65.1,76.5,53.8
2011,07,0.99,72.4,85.4,59.4
2011,08,5.87,67.4,78.3,56.6
2011,09,4.01,63.3,73.0,53.5
2011,10,4.9,47.1,59.39,39.0
2011,11,3.88,47.1,59.39,35.3
2011,12,2.93,34.1,42.9,25.4
2012,01,2.21,28.3,38.8,17.8
2012,02,0.72,31.7,39.7,23.6
2012,03,2.04,47.3,59.7,34.9
2012,04,2.68,44.4,59.6,29.1
2012,05,2.8,62.3,76.6,48.0
2012,06,3.07,65.0,77.1,52.8
2012,07,4.84,71.9,82.4,61.4
2012,08,3.21,67.4,80.1,54.7
2012,09,4.31,59.9,71.3,48.6
2012,10,5.33,51.4,61.6,41.2
2012,11,0.79,36.7,44.4,29.0
2012,12,5.41,34.1,41.2,27.0
2013,01,2.17,27.6,35.2,19.9
2013,02,1.11,25.3,33.6,17.0
2013,03,1.14,29.8,36.6,23.0
2013,04,2.93,45.9,58.6,33.1
2013,05,3.25,58.9,73.9,43.9
2013,06,5.15,64.5,76.5,52.6
2013,07,4.05,69.7,81.9,57.5
2013,08,4.48,65.6,78.9,52.4
2013,09,3.44,58.8,72.6,45.0
2013,10,3.88,52.0,63.5,40.5
2013,11,3.51,35.0,44.5,25.4
2013,12,3.2,28.8,37.5,20.1
2014,01,1.78,18.1,28.5,7.6
2014,02,2.2,18.3,29.2,7.3
2014,03,2.46,26.8,39.1,14.5
2014,04,2.6,44.8,59.4,30.2
2014,05,5.56,56.8,70.7,43.0
2014,06,4.73,65.3,79.3,51.3
2014,07,4.66,65.7,78.0,53.4
2014,08,4.18,64.6,77.3,51.9
2014,09,2.98,60.0,73.1,46.9
2014,10,2.72,49.9,61.4,38.4
2014,11,2.42,35.1,44.4,25.8
2014,12,2.48,31.4,37.6,25.1
2015,01,1.89,17.4,28.7,6.1
2015,02,1.65,10.0,23.6,-3.7
2015,03,1.73,27.8,39.5,16.0
2015,04,4.0,44.7,58.6,30.7
2015,05,3.42,61.0,75.9,46.0
2015,06,6.72,63.9,75.5,52.4
2015,07,3.72,67.5,81.2,53.9
2015,08,2.76,66.1,78.7,53.3
2015,09,6.31,64.5,77.1,51.9
2015,10,4.8,47.5,58.8,36.1
2015,11,1.61,41.7,53.9,29.5
2015,12,3.86,39.3,48.6,30.0
2016,01,1.76,22.9,32.3,13.5
2016,02,3.09,26.5,37.6,15.3
2016,03,1.5,38.4,51.3,25.4
2016,04,2.46,40.6,54.8,26.5
2016,05,2.28,54.5,68.1,40.9
2016,06,2.13,62.8,78.5,47.1
2016,07,2.27,69.1,85.0,53.2
2016,08,5.17,71.9,85.3,58.6
2016,09,3.44,62.3,77.4,47.1
2016,10,7.8,50.9,62.9,38.8
2016,11,1.74,40.1,52.1,28.0
2016,12,4.69,27.8,35.2,20.5
2017,01,3.76,28.4,36.6,20.1
2017,02,2.51,32.6,42.7,22.6
2017,03,3.41,30.0,41.4,18.6
2017,04,4.17,48.9,61.9,36.0
2017,05,3.92,54.6,66.5,42.8
2017,06,3.68,63.6,77.1,50.1
2017,07,4.66,68.1,80.1,56.2
2017,08,2.02,64.8,78.8,50.7
2017,09,3.42,61.1,74.7,47.4
2017,10,6.76,53.4,66.3,40.5
2017,11,3.05,36.0,45.5,26.5
2017,12,2.29,24.5,33.0,16.1
2018,01,3.59,18.8,31.3,6.3
2018,02,2.66,30.3,41.4,19.1
2018,03,2.81,28.2,39.7,16.7
2018,04,3.18,37.5,48.6,26.4
2018,05,3.28,60.8,75.1,46.5
