YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2024,1,CT,"Combined Heat and Power, Electric Power",Total,"11,043"
2024,1,CT,"Combined Heat and Power, Electric Power",Natural Gas,"11,043"
2024,1,CT,"Combined Heat and Power, Electric Power",Petroleum,0
2024,1,CT,"Electric Generators, Independent Power Producers",Total,"3,404,514"
2024,1,CT,"Electric Generators, Independent Power Producers",Coal,0
2024,1,CT,"Electric Generators, Independent Power Producers",Pumped Storage,"3,172"
2024,1,CT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"35,037"
2024,1,CT,"Electric Generators, Independent Power Producers",Natural Gas,"1,972,486"
2024,1,CT,"Electric Generators, Independent Power Producers",Nuclear,"1,263,781"
2024,1,CT,"Electric Generators, Independent Power Producers",Other,"37,297"
2024,1,CT,"Electric Generators, Independent Power Producers",Petroleum,"34,800"
2024,1,CT,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"15,913"
2024,1,CT,"Electric Generators, Independent Power Producers",Other Biomass,"30,978"
2024,1,CT,"Electric Generators, Independent Power Producers",Wind,"1,306"
2024,1,CT,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"9,744"
2024,1,CT,"Electric Generators, Electric Utilities",Total,"6,750"
2024,1,CT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"3,197"
2024,1,CT,"Electric Generators, Electric Utilities",Natural Gas,"3,201"
2024,1,CT,"Electric Generators, Electric Utilities",Petroleum,352
2024,1,CT,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,0
2024,1,CT,"Electric Generators, Electric Utilities",Other Biomass,0
2024,1,DC,Total Electric Power Industry,Total,"16,338"
2024,1,DC,Total Electric Power Industry,Natural Gas,"10,036"
2024,1,DC,Total Electric Power Industry,Petroleum,1
2024,1,DC,Total Electric Power Industry,Solar Thermal and Photovoltaic,"1,356"
2024,1,DC,Total Electric Power Industry,Other Biomass,"4,945"
2024,1,DC,"Combined Heat and Power, Commercial Power",Total,"14,982"
2024,1,DC,"Combined Heat and Power, Commercial Power",Natural Gas,"10,036"
2024,1,DC,"Combined Heat and Power, Commercial Power",Petroleum,1
2024,1,DC,"Combined Heat and Power, Commercial Power",Other Biomass,"4,945"
2024,1,DC,"Electric Generators, Independent Power Producers",Total,"1,335"
2024,1,DC,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"1,335"
2024,1,DC,"Electric Generators, Electric Utilities",Total,20
2024,1,DC,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,20
2024,1,DE,Total Electric Power Industry,Total,"356,015"
2024,1,DE,Total Electric Power Industry,Coal,"17,949"
2024,1,DE,Total Electric Power Industry,Natural Gas,"303,741"
2024,1,DE,Total Electric Power Industry,Other Gases,"14,688"
2024,1,DE,Total Electric Power Industry,Petroleum,"7,846"
2024,1,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,"5,099"
2024,1,DE,Total Electric Power Industry,Other Biomass,"6,454"
2024,1,DE,Total Electric Power Industry,Wind,239
2024,1,DE,"Combined Heat and Power, Industrial Power",Total,"110,145"
2024,1,DE,"Combined Heat and Power, Industrial Power",Natural Gas,"93,731"
2024,1,DE,"Combined Heat and Power, Industrial Power",Other Gases,"14,688"
2024,1,DE,"Combined Heat and Power, Industrial Power",Petroleum,0
2024,1,DE,"Combined Heat and Power, Industrial Power",Other Biomass,"1,726"
2024,1,DE,"Combined Heat and Power, Commercial Power",Total,366
2024,1,DE,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,127
2024,1,DE,"Combined Heat and Power, Commercial Power",Wind,239
2024,1,DE,"Combined Heat and Power, Electric Power",Total,"3,051"
2024,1,DE,"Combined Heat and Power, Electric Power",Coal,0
2024,1,DE,"Combined Heat and Power, Electric Power",Natural Gas,"2,931"
2024,1,DE,"Combined Heat and Power, Electric Power",Petroleum,120
2024,1,DE,"Electric Generators, Independent Power Producers",Total,"242,240"
2024,1,DE,"Electric Generators, Independent Power Producers",Coal,"17,949"
2024,1,DE,"Electric Generators, Independent Power Producers",Natural Gas,"207,186"
2024,1,DE,"Electric Generators, Independent Power Producers",Petroleum,"7,726"
2024,1,DE,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"4,651"
2024,1,DE,"Electric Generators, Independent Power Producers",Other Biomass,"4,728"
2024,1,DE,"Electric Generators, Electric Utilities",Total,214
2024,1,DE,"Electric Generators, Electric Utilities",Natural Gas,-107
2024,1,DE,"Electric Generators, Electric Utilities",Petroleum,0
2024,1,DE,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,321
2024,1,FL,Total Electric Power Industry,Total,"19,770,112"
2024,1,FL,Total Electric Power Industry,Coal,"829,121"
2024,1,FL,Total Electric Power Industry,Hydroelectric Conventional,"22,644"
2024,1,FL,Total Electric Power Industry,Natural Gas,"14,884,167"
2024,1,FL,Total Electric Power Industry,Nuclear,"2,601,842"
2024,1,FL,Total Electric Power Industry,Other Gases,5
2024,1,FL,Total Electric Power Industry,Other,"191,856"
2024,1,FL,Total Electric Power Industry,Petroleum,"61,416"
2024,1,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,"873,320"
2024,1,FL,Total Electric Power Industry,Other Biomass,"158,805"
2024,1,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,"146,936"
2024,1,FL,"Combined Heat and Power, Industrial Power",Total,"316,030"
2024,1,FL,"Combined Heat and Power, Industrial Power",Coal,"1,880"
2024,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas,"98,800"
2024,1,FL,"Combined Heat and Power, Industrial Power",Other Gases,5
2024,1,FL,"Combined Heat and Power, Industrial Power",Other,"74,896"
2024,1,FL,"Combined Heat and Power, Industrial Power",Petroleum,"1,327"
2024,1,FL,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,182
2024,1,FL,"Combined Heat and Power, Industrial Power",Other Biomass,"28,361"
2024,1,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"110,580"
2024,1,FL,"Combined Heat and Power, Commercial Power",Total,"101,826"
2024,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas,"11,887"
2024,1,FL,"Combined Heat and Power, Commercial Power",Other Gases,0
2024,1,FL,"Combined Heat and Power, Commercial Power",Other,"48,780"
2024,1,FL,"Combined Heat and Power, Commercial Power",Petroleum,0
2024,1,FL,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,332
2024,1,FL,"Combined Heat and Power, Commercial Power",Other Biomass,"40,826"
2024,1,FL,"Combined Heat and Power, Electric Power",Total,"168,633"
2024,1,FL,"Combined Heat and Power, Electric Power",Natural Gas,"165,019"
2024,1,FL,"Combined Heat and Power, Electric Power",Petroleum,0
2024,1,FL,"Combined Heat and Power, Electric Power",Other Biomass,"3,614"
2024,1,FL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2024,1,FL,"Electric Generators, Independent Power Producers",Total,"798,330"
2024,1,FL,"Electric Generators, Independent Power Producers",Natural Gas,"578,648"
2024,1,FL,"Electric Generators, Independent Power Producers",Other,"72,064"
2024,1,FL,"Electric Generators, Independent Power Producers",Petroleum,"1,827"
2024,1,FL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"62,786"
2024,1,FL,"Electric Generators, Independent Power Producers",Other Biomass,"83,005"
2024,1,FL,"Electric Generators, Electric Utilities",Total,"18,385,293"
